circonscription,etiquette,prenom_candidat,nom_candidat,prenom_suppleant,nom_suppleant,front_populaire
34-04,FI,Sébastien,ROME,Christelle,BROT-WEISSENBACH,1
34-05,PS,,,,,0
34-06,FI,Magali,CROZIER,Linda,MENDY,1
34-07,PCF,,,,,0
34-08,FI,Sylvain,CARRIÈRE,Livia,JAMPY,1
34-09,FI,Nadia,BELAOUNI,Tom,GUICHARD,1
35-01,FI,Marie,MESMEUR,Malou,DUHAMEL,1
35-01,FI,Frédéric,MATHIEU,Nolwenn,BENOIT,0
35-02,PE,,,,,0
35-03,PS,,,,,0
35-04,FI,Mathilde,HIGNET,Jean-Marie,LE GALL,1
35-05,FI,Gilles,RENAULT,Annick,BELLAMY,1
35-06,PCF,,,,,0
35-07,FI,Nicolas,GUIVARC’H,Camille,TAP,1
35-08,PS,,,,,0
36-01,FI,Eloïse,GONZALEZ,Amélie,DUMANS,1
36-02,PS,,,,,0
37-01,PE,,,,,0
37-02,FI,Christelle,GOBERT,Vincent,PINON,1
37-03,FI,Sandra,BARBIER,Mathieu,BARTHÉLEMY,1
37-04,PS,,,,,0
37-05,PCF,,,,,0
38-01,FI,Hugo,PREVOST,Salomé,ROBIN,1
38-02,PE,,,,,0
38-03,FI,Élisa,MARTIN,Alain,SAINTE-MARTINE,1
38-04,PS,,,,,0
38-05,PE,,,,,0
38-06,FI,Yaqine,DI SPIGNO,Claude,AGERON,1
38-07,PCF,,,,,0
38-08,PE,,,,,0
38-09,FI,Sandrine,NOSBÉ,Christian,FERRARIS,1
38-10,FI,Joëlle,RICHOL,Albin,DUBANCHET,1
39-01,FI,Anthony,BRONDEL,Véronique,BODIN,1
39-02,PCF,,,,,0
39-03,PE,,,,,0
40-01,PS,,,,,0
40-02,PCF,,,,,0
40-03,PS,,,,,0
41-01,FI,Reda,BELKADI,Mona,CAZIN,1
41-02,PCF,,,,,0
41-03,PE,,,,,0
42-01,PS,,,,,0
42-02,FI,Andrée,TAURINYA,Abdallah Samir,MOUHLI,1
42-03,PCF,,,,,0
42-04,FI,Bernard,PAEMELAERE,Marie,VELLY,1
42-05,FI,Ismaël,STEVENSON,Emilie,PISSARUK,1
42-06,FI,Marie-Paule,OLIVE,Hugo,LANTERMOZ,1
43-01,PE,,,,,0
43-02,PS,,,,,0
44-01,PS,,,,,0
44-02,FI,Andy,KERBRAT,Marina,FERRERUELA,1
44-03,FI,Ségolène,AMIOT,Driss,SAÏD,1
44-04,PE,,,,,0
44-05,PS,,,,,0
44-06,PE,,,,,0
44-07,PCF,,,,,0
44-08,FI,Matthias,TAVEL,Christelle,ARDOUIN,1
44-09,FI,Hélène,MACON,Bleiz,AMIOT,1
44-10,FI,Maxime,VIANCIN,Aurélie,ARQUIER,1
45-01,PS,,,,,0
45-02,PE,,,,,0
45-03,FI,Clément,VERDE,Alexandra,MOUTON,1
45-04,PCF,,,,,0
45-05,FI,Anne-Laure,BOUTET,Marwin,ROY,1
45-06,PS,,,,,0
46-01,FI,Elsa,BOUGEARD,Philippe,CANCEIL,1
46-02,PS,,,,,0
47-01,PE,,,,,0
47-02,PS,,,,,0
47-03,FI,Xavier,CZAPLA,Carole,BINOIS-FIEGEL,1
48-01,PS,,,,,0
49-01,PE,,,,,0
49-02,FI,Léo,MÉTAYER,Nahdjet,DRISSI,1
49-03,FI,Patrick,ALEXANDRE,Delphine,MOIREZ,1
49-04,PCF,,,,,0
49-05,FI,France,MOREAU,Olivier,DUPUIS,1
49-06,FI,Sylvie,GABIN,Aurélien,LE CORRE,1
49-07,PS,,,,,0
50-01,PE,,,,,0
50-02,FI,Patrick,GRIMBERT,Manon,DESVAGES,1
50-03,PCF,,,,,0
50-04,PS,,,,,0
51-01,PE,,,,,0
51-02,FI,Stéphane,PIROUELLE,Lucie,BERWEILLER,1
51-03,PCF,,,,,0
51-04,FI,Maxence,LAURENT,Agnès,GUYOT,1
51-05,PS,,,,,0
52-01,PS,,,,,0
52-02,FI,Ingrid,VIOT,Sébastien,DROUOT,1
53-01,PS,,,,,0
53-02,PE,,,,,0
53-03,PS,,,,,0
54-01,PS,,,,,0
54-02,PS,,,,,0
54-03,FI,Martine,ETIENNE,Patrice,ZOLFO,1
54-04,PE,,,,,0
54-05,PS,,,,,0
54-06,FI,Caroline,FIAT,Julien,HÉZARD,1
55-01,PS,,,,,0
55-02,PS,,,,,0
56-01,PS,,,,,0
56-02,FI,Jade,BÉNIGUEL,Henri,LAPEYRÈRE PAROTT,1
56-03,FI,Marie Madeleine,DORÉ-LUCAS,Didier,DENOUAL,1
56-04,PCF,,,,,0
56-05,PE,,,,,0
56-06,FI,Jean-Michel,BAUDRY,Delphine,HERCEND,1
57-01,FI,Vincent,FELIX,Marie-Claude,RONCORONI,1
57-02,PS,,,,,0
57-03,FI,Charlotte,LEDUC,Michel,ESTEVEZ,1
57-04,PCF,,,,,0
57-05,FI,Lisa,LAHORE,Martial,HOELLINGER,1
57-06,FI,Claire,BLADT,Mohammed,AÏFI,1
57-07,PE,,,,,0
57-08,FI,Céline,LEGER,Virginio,CESTARO,1
57-09,PS,,,,,0
58-01,FI,Brice,LARÈPE,Catherine,LEROY,1
58-02,PS,,,,,0
59-01,FI,Aurélien,LE COQ,Lahouaria,ADDOUCHE,1
59-01,FI,Amy,BAH,,,0
59-02,FI,Ugo,BERNALICIS,Marie,BOUCKNOOGHE,1
59-03,PS,,,,,0
59-04,PS,,,,,0
59-05,FI,Ophélie,DELNESTE,Dorian,VALLOIS,1
59-06,FI,Célia,PEREIRA,Baptiste,TACQUET,1
59-07,PE,,,,,0
59-08,FI,David,GUIRAUD,Shéhérazade,BENTORKI,1
59-09,PE,,,,,0
59-10,FI,Leslie,MORTREUX,Maurice,DEVLOO,1
59-11,PS,,,,,0
59-12,PCF,,,,,0
59-13,FI,Damien,LACROIX,Fatima,BELFERRAG,1
59-14,FI,Philippine,HEYMAN,Gautier,DELCAMBRE,1
59-15,PE,,,,,0
59-16,PCF,,,,,0
59-17,PS,,,,,0
59-18,FI,Benoît,MARECHAL,Sylvie,PALA,1
59-19,FI,Cédric,BRUN,Corinne,HENNOTELLE,1
59-20,PCF,,,,,0
59-21,FI,Pierrick,COLPIN,Virginie,MELKI-TETTINI,1
60-01,PCF,,,,,0
60-02,FI,Marianne,SECK,Cyril,GIRARDEAU,1
60-03,FI,Amadou,KA,Valérie,FRANÇOIS,1
60-04,FI,Mohamed,ASSAMTI,Mélissa,ARRAULT,1
60-05,PE,,,,,0
60-06,PS,,,,,0
60-07,PCF,,,,,0
61-01,PS,,,,,0
61-02,PS,,,,,0
61-03,PS,,,,,0
62-01,FI,Jean-Michel,SAUVAGE,Céline,DEMONT,1
62-02,PE,,,,,0
62-03,PCF,,,,,0
62-04,PS,,,,,0
62-05,PS,,,,,0
62-06,PS,,,,,0
62-07,PE,,,,,0
62-08,PS,,,,,0
62-09,PS,,,,,0
62-10,PS,,,,,0
62-11,PS,,,,,0
62-12,PS,,,,,0
63-01,FI,Marianne,MAXIMI,Diego,LANDIVAR,1
63-02,PS,,,,,0
63-03,PE,,,,,0
63-04,FI,Valérie,GOLÉO,Alain,BIDET,1
63-05,PCF,,,,,0
64-01,FI,Jean,SANROMAN,Justine,JASPART,1
64-02,PE,,,,,0
64-03,FI,Joëlle,LOSSON,Samuel,LEGRIS,1
64-04,PS,,,,,0
64-05,FI,,,,,0
64-06,PS,,,,,0
65-01,FI,Sylvie,FERRER,Benjamin-Florian,SIRE,1
65-02,PS,,,,,0
66-01,FI,Francis,DASPE,Sylvie,VENTURA-CID,1
66-02,PE,,,,,0
66-03,FI,Nathalie,CULLELL,François,FERRAND,1
66-04,FI,,,,,0
67-01,PE,,,,,0
67-02,FI,Emmanuel,FERNANDES,Mireille,CASSONE,1
67-03,PS,,,,,0
67-04,FI,Raphaële,KRATTINGER,Kamal,AMRANI,1
67-05,PS,,,,,0
67-06,PE,,,,,0
67-07,FI,Serge,BLOCH,Véronique,MARCOU,1
67-08,FI,Myriam,ZEKAGH,Gautier,VOGELSBERGER,1
67-09,PS,,,,,0
68-01,PS,,,,,0
68-02,FI,Lilian,BOURGEOIS,Nadège,FLORENTZ,1
68-03,FI,Bénédicte,VIROULET,Kevin,JACQUEMIN,1
68-04,FI,Simone,FEST,Jean-Jacques,RASETTI,1
68-05,PE,,,,,0
68-06,FI,Florence,CLAUDEPIERRE,Morgan,LEGAY,1
69-01,FI,Anaïs,BELOUASSA-CHERIFI,Nadine,GEORGEL,1
69-02,PE,,,,,0
69-03,PE,,,,,0
69-04,PS,,,,,0
69-05,PS,,,,,0
69-06,FI,Gabriel,AMARD,Melouka,HADJ-MIMOUNE,1
69-07,FI,Abdelkader,LAHMAR,Elise,SABIN,1
69-08,PS,,,,,0
69-09,PS,,,,,0
69-10,PS,,,,,0
69-11,PCF,,,,,0
69-12,PE,,,,,0
69-13,FI,Victor,PRANDT,Fatiha,DIDAOUI,1
69-14,FI,Idir,BOUMERTIT,Gisèle,PUTOUD,1
70-01,FI,Sébastien,POYARD,Anick,MARECHAL,1
70-02,PS,,,,,0
71-01,PE,,,,,0
71-02,PCF,,,,,0
71-03,FI,Richard,BENINGER,Margaux,FEBVRE,1
71-04,PS,,,,,0
71-05,FI,Fatima,KOURICHE,Damien,SALEY,1
72-01,FI,Ghislaine,BONNET,Nathalie,BUCHOT,1
72-02,PS,,,,,0
72-03,FI,Mathilde,JACK,Stéphanie,DUBOIS-GASNOT,1
72-04,FI,Élise,LEBOUCHER,Youssef,BEN AMAR,1
72-05,PS,,,,,0
73-01,PCF,,,,,0
73-02,PS,,,,,0
73-03,FI,Daniel,IBANEZ,Carine,GROS,1
73-04,FI,Jean-François,COULOMME,Nassera,CHERIGUÈNE,1
74-01,FI,Anne-Valérie,DUVAL,Clément,NUSSBAUM,1
74-02,PE,,,,,0
74-03,FI,Gérard,VEZ,Anne,FAVRELLE,1
74-04,PS,,,,,0
74-05,PS,,,,,0
74-06,PS,,,,,0
75-01,FI,Raphaël,KEMPF,Jennifer,CAMBLA,1
75-02,PS,,,,,0
75-03,PE,,,,,0
75-04,PS,,,,,0
75-05,PE,,,,,0
75-06,FI,Sophia,CHIKIROU,Sophie,DE LA ROCHEFOUCAULD,1
75-07,PS,,,,,0
75-08,PE,,,,,0
75-09,PE,,,,,0
75-10,FI,Rodrigo,ARENAS,Ouns,HAMDI,1
75-11,PS,,,,,0
75-12,PCF,,,,,0
75-13,PE,,,,,0
75-14,FI,Hugo,ROTA,Julie,MAURY,1
75-15,FI,Céline,VERZELETTI,Samia,HASNAOUI,1
75-15,FI,Danielle,SIMONNET,,,0
75-16,FI,Sarah,LEGRAIN,Roland,TIMSIT,1
75-17,FI,Danièle,OBONO,Michel,MONGKHOY,1
75-18,FI,Aymeric,CARON,Manon,LUQUET,1
76-01,PS,,,,,0
76-02,PS,,,,,0
76-03,PCF,,,,,0
76-04,FI,Alma,DUFOUR,Magalie,ADAM,1
76-05,PS,,,,,0
76-06,PCF,,,,,0
76-07,PS,,,,,0
76-08,PCF,,,,,0
76-09,FI,Christiane,ROUXEL,Clément,COTTARD,1
76-10,PE,,,,,0
77-01,FI,Arnaud,SAINT-MARTIN,Fatiya,AMMAD MOTHAY,1
77-02,FI,Nour,BENAÏSSA WATBOT,Bruno,PLOUZEAU,1
77-03,FI,Laura,VALLÉE-HANS,Angélique,BRETIN,1
77-04,FI,Mathieu,GARNIER,Clotilde,LAGOUTTE,1
77-05,FI,Laurie,CAENBERGS,Cédric,COLIN,1
77-06,FI,Amal,BENTOUNSI,Sullivan,DESCARPENTRY,1
77-07,FI,Ersillia,SOUDAIS,Joël,MARION,1
77-08,PE,,,,,0
77-09,PS,,,,,0
77-10,FI,Maxime,LAISNEY,Maryline,BRAZ DANTAS,1
77-11,PS,,,,,0
78-01,FI,Sébastien,RAMAGE,Muriel,BONNEFOND,1
78-02,PE,,,,,0
78-03,PS,,,,,0
78-04,FI,Céline,BOURDON,Hadrien,MOUTAOUKIL,1
78-05,FI,Yassine,BENYETTOU,Anya,ZEMMOURI,1
78-06,FI,Mélinda,SAUGER,Stéphane,PICHARD,1
78-07,PS,,,,,0
78-08,PE,,,,,0
78-09,PS,,,,,0
78-10,FI,Cédric,BRIOLAIS,Catherine,LASSERRE,1
78-11,FI,William,MARTINET,Ali,RABEH,1
78-12,PE,,,,,0
79-01,PS,,,,,0
79-02,PE,,,,,0
79-03,FI,Juliette,WOILLEZ,Bernard,ARRU,1
80-01,FI,François,RUFFIN,,,1
80-02,FI,Zahia,HAMDANE,Lucas,BOUTILLIER,1
80-03,PCF,,,,,0
80-04,PE,,,,,0
80-05,FI,Simon,MAUGER,Alice,BERGER,1
81-01,PS,,,,,0
81-02,FI,Karen,ERODI,Romain,JAMMES,1
81-03,FI,Julien,LASSALLE,Valérie,PERRIN,1
82-01,PS,,,,,0
82-02,FI,Claudie,CHRÉTIEN,Roméo,CHARRIERE,1
83-01,FI,Eric,HABOUZIT,Gwennaelle,JEZEQUEL,1
83-02,FI,Isaline,CORNIL,Franck,SERVEL,1
83-03,PS,,,,,0
83-04,FI,Sabine,CRISTOFANI-VIGLIONE,Pierre,POCHET,1
83-05,FI,Aurelien,LACOUR,Hakima,JELASSI,1
83-06,PCF,,,,,0
83-07,PE,,,,,0
83-08,PS,,,,,0
84-01,FI,Raphaël,ARNAULT,Mathilde,MILLAT,1
84-02,PS,,,,,0
84-03,PCF,,,,,0
84-04,FI,Monia,GALVEZ,Alain,VISEUX,1
84-05,PE,,,,,0
85-01,PE,,,,,0
85-02,FI,Nicolas,HELARY,Ninon,GRÉAU,1
85-03,FI,Pascale,MARCHAND,Léon,MICHAUD,1
85-04,PCF,,,,,0
85-05,PS,,,,,0
86-01,PE,,,,,0
86-02,FI,Valérie,SOUMAILLE,Florence,HARIS,1
86-03,PS,,,,,0
86-04,PS,,,,,0
87-01,FI,Damien,MAUDET,Jacqueline,LHOMME LEOMENT,1
87-02,PS,,,,,0
87-03,FI,Manon,MEUNIER,Jean-Yves,RIGOUT,1
88-01,FI,Dominique,PERRIN,Stéphane,MAIMBOURG,1
88-02,FI,Julie,XICOLA,Joris,TRUBERT,1
88-03,PS,,,,,0
88-04,FI,François-Xavier,WEIN,Florence,LAMAZE,1
89-01,PE,,,,,0
89-02,FI,Philippe,VEYSSIERE,Marion,SYGROVES,1
89-03,PS,,,,,0
90-01,PS,,,,,0
90-02,FI,Florian,CHAUCHE,Mathilde,REGNAUD,1
91-01,FI,Farida,AMRANI,Oscar,SEGURA,1
91-02,FI,Mathieu,HILLAIRE,Mounia,Benaili,1
91-03,PE,,,,,0
91-04,PCF,,,,,0
91-05,PE,,,,,0
91-06,PS,,,,,0
91-07,FI,Claire,LEJEUNE,Yanisse,LALOUCI,1
91-08,FI,Bérenger,CERNON,Céline,CIÉPLINSKI,1
91-09,PE,,,,,0
91-10,FI,Antoine,LÉAUMENT,Anaïs,KÖSE,1
92-01,PCF,,,,,0
92-02,PE,,,,,0
92-03,PS,,,,,0
92-04,PE,,,,,0
92-05,PS,,,,,0
92-06,FI,Sihame,MUSCIANISI,Abdel-Rahman,TALHADJT,1
92-07,FI,Lucas,PEYRET,Nathalie,OLLIVIER,1
92-08,PS,,,,,0
92-09,PE,,,,,0
92-10,PS,,,,,0
92-11,FI,Aurélien,SAINTOUL,Claire,GABIACHE,1
92-12,PS,,,,,0
92-13,PS,,,,,0
93-01,FI,Éric,COQUEREL,Manon,MONMIREL,1
93-02,PCF,,,,,0
93-03,FI,Thomas,PORTES,Aziza,NOUIOUA,1
93-04,PCF,,,,,0
93-05,FI,Aly,DIOUARA,Houria,GUENDOUZI,1
93-05,FI,Raquel,GARRIDO,,,0
93-06,FI,Bastien,LACHAUD,Aline,LO TUTALA,1
93-07,FI,Sabrina,ALI BENALI,Lise,POITRINEAU,1
93-07,FI,Alexis,CORBIERE,,,0
93-08,PS,,,,,0
93-09,FI,Aurélie,TROUVÉ,Mehmet,OZGUNER,1
93-10,FI,Nadège,ABOMANGOLI,Mehdi,CHTIOUI,1
93-11,FI,Clémentine,AUTAIN,Brigitte,BERNEX,1
93-12,FI,Jérôme,LEGAVRE,Nezha,BARHANDI,1
94-01,FI,Lyes,LOUFFOK,Céline,VERCELLONI,1
94-02,FI,Clémence,GUETTÉ,Robin,ALBERT,1
94-03,FI,Louis,BOYARD,Diana,RAMALHO,1
94-04,FI,Adel,AMARA,Virginie,CINCET,1
94-05,PCF,,,,,0
94-06,PE,,,,,0
94-07,FI,Rachel,KEKE,Marie,LECLERC-BRUANT,1
94-08,PS,,,,,0
94-09,PS,,,,,0
94-10,FI,Mathilde,PANOT,Farida,CHIKH,1
94-11,PE,,,,,0
95-01,FI,Maximillien,JULES-ARTHUR,Leïla,IVORRA,1
95-02,PS,,,,,0
95-03,PCF,,,,,0
95-04,FI,Karine,LACOUTURE,Camille,PREVOST,1
95-05,FI,Paul,VANNIER,Nadia,AOUCHICHE,1
95-06,FI,Gabrielle,CATHALA,Stéphane,BAUER,1
95-07,PS,,,,,0
95-08,FI,Carlos,MARTENS BILONGO,Ophélie,SAUGER,1
95-09,FI,Arnaud,LE GALL,Sabrina,BENAÏSSA,1
95-10,FI,Aurélien,TACHÉ,Daisy,YAÏCH,1
99-01,PE,,,,,0
99-02,PE,,,,,0
99-03,PE,,,,,0
99-04,PS,,,,,0
99-05,FI,Maxime,DA SILVA,Inès,CHEVALIER,1
99-06,PS,,,,,0
99-07,FI,Asma,RHARMAOUI-CLAQUIN,Audrey,LECLERC,1
99-08,FI,Yaël,LERER,Salam,ISMAIL,1
99-09,PE,,,,,0
99-10,PS,,,,,0
99-11,PS,,,,,0
